TAX (cents/pack),RANK,REGION,STATE
100,12,4,AK
16.5,47,2,AL
59,27,2,AR
118,11,4,AZ
87,19,4,CA
20,43,4,CO
151,3,1,CT
100,12,1,DC
55,30,1,DE
33.9,41,2,FL
37,38,2,GA
130,7,4,HI
36,39,3,IA
57,28,4,ID
98,17,3,IL
55.5,29,3,IN
79,21,3,KS
3,50,2,KY
36,39,2,LA
151,3,1,MA
100,12,1,MD
100,12,1,ME
125,9,3,MI
48,35,3,MN
17,46,3,MO
18,45,2,MS
70,23,4,MT
5,49,2,NC
44,36,3,ND
64,25,3,NE
52,34,1,NH
205,1,1,NJ
91,18,4,NM
80,20,4,NV
150,5,1,NY
55,30,3,OH
23,42,3,OK
128,8,4,OR
100,12,1,PA
171,2,1,RI
7,48,2,SC
53,33,3,SD
20,43,2,TN
41,37,2,TX
69.5,24,4,UT
2.5,51,2,VA
119,10,1,VT
142.5,6,4,WA
77,22,3,WI
55,30,2,WV
60,26,4,WY
